"Date","Price","Open","High","Low","Vol.","Change %"
"2023-11-16","122.92","119.11","123.27","119.11","460.98K","2.19%"
"2023-11-15","120.29","124.30","124.59","119.61","415.79K","-2.23%"
"2023-11-14","123.03","121.37","124.19","121.37","391.68K","0.46%"
"2023-11-13","122.47","121.25","122.52","120.36","403.36K","0.96%"
"2023-11-10","121.31","120.51","121.68","119.87","163.43K","0.82%"
"2023-11-09","120.32","119.83","121.05","118.82","265.54K","0.41%"
"2023-11-08","119.83","120.96","121.98","119.60","232.14K","-0.79%"
"2023-11-07","120.79","121.15","121.39","120.32","208.56K","-0.29%"
"2023-11-06","121.14","119.74","121.93","118.76","279.82K","1.31%"
"2023-11-03","119.57","117.89","119.99","117.46","275.15K","1.50%"
"2023-11-02","117.80","115.22","118.08","114.66","262.20K","2.26%"
"2023-11-01","115.20","113.99","115.70","113.14","192.56K","1.57%"
"2023-10-31","113.42","113.45","113.93","112.03","443.08K","0.11%"
"2023-10-30","113.30","111.10","113.44","110.52","236.62K","2.43%"
"2023-10-27","110.61","111.40","111.78","110.54","152.69K","-0.63%"
"2023-10-26","111.31","111.65","112.24","110.99","305.47K","-0.21%"
"2023-10-25","111.54","110.75","112.57","110.75","334.26K","0.52%"
"2023-10-24","110.96","111.77","112.42","110.84","333.01K","-0.72%"
"2023-10-23","111.76","111.30","112.77","111.30","199.72K","0.22%"
"2023-10-20","111.52","111.62","112.67","111.12","307.67K","-0.31%"
"2023-10-19","111.87","112.58","113.90","111.55","277.86K","-1.00%"
"2023-10-18","113.00","114.19","114.55","112.90","389.51K","-1.53%"
"2023-10-17","114.75","114.62","115.15","114.00","265.62K","-0.19%"
"2023-10-16","114.97","114.16","115.54","113.78","269.35K","1.03%"
"2023-10-13","113.80","116.42","116.82","113.54","345.62K","-2.24%"
"2023-10-12","116.41","116.09","116.59","115.28","231.98K","0.26%"
"2023-10-11","116.11","115.78","116.19","114.09","539.90K","0.33%"
"2023-10-10","115.73","116.54","117.07","115.62","297.66K","-0.63%"
"2023-10-06","116.46","116.93","117.48","115.70","247.74K","-0.50%"
"2023-10-05","117.05","117.61","118.18","116.80","321.93K","-0.45%"
"2023-10-04","117.58","117.61","118.74","116.54","352.70K","0.33%"
"2023-10-03","117.19","115.85","118.05","115.56","520.68K","0.92%"
"2023-10-02","116.12","115.59","117.11","115.25","389.82K","0.62%"
